,Título,Preço
306,Rolamento de Esfera 608 ZZ Blindado (8x22x7),7.13
307,Transformador de Corrente TC / Sensor de Corrente 5A - ZMCT103C,18.95
308,Sensor de Nível de Líquidos Sem Contato - XKC-Y25-V,78.76
309,Sensor de Tensão DC 0-25V para Arduino - P25,7.51
310,Cabo Pigtail UFL com conector SMA Fêmea,13.21
311,Roda 42mm para Micromotor DC 12V N20 com Caixa de Redução,9.88
312,Sensor Sharp GP2Y0A21YK0F Infravermelho de Longo Alcance para Arduino - 10 a 80cm + Cabo JST,61.66
313,Módulo Relé 5V 2A 1 Canal Estado Sólido SSR,18.86
314,"Polia GT2 Tensora Lisa ID5 OD18 W6 / Sem Dentes, Eixo 5mm, Diâmetro 18mm para Correia de 6mm",11.31
315,Sensor de Cor RGB TCS34725 com Filtro IR,68.60
316,Rig de Mineração para 4 GPUs e 6 Fans MDF 6mm RM4G6F V3 + Manual de Montagem,151.63
317,Caixa Patola / Case para Pilhas AA 23 x 33 x 57 mm - Gabinete de Pilha,5.89
318,Módulo Sensor de Efeito Hall para Arduino - P16,8.08
319,Kit de Molas para Robótica 200 Peças / Mola de Compressão e Extensão para Projetos DIY,84.46
320,Módulo Gravador de Voz com Microfone e Alto-falante - ISD1820,25.18
321,Sensor de Contagem / Sensor de Velocidade - Chave Óptica para Encoder 10mm,11.31
322,Módulo AS32-TTL-100 LoRa 433MHz + Antena de Longo Alcance,129.11
323,Caixa Patola PB-119/2 TE para Montagem 54 x 112 x 191 mm,46.79
324,Sensor Detector de Poeira e Fumaça DSM501A,69.83
325,Kit Leitor RFID NFC + Tags RFID (Chaveiro + Cartão) para Arduino - PN532,74.96
326,Conector F RG59 de Compressão,2.38
327,Pulseira RFID 13.56MHz em Silicone - Azul,18.22
328,Caixa Patola PB-112/2 TE para Montagem 38 x 85 x 124 mm,19.86
329,Nozzle Bico Extrusora Impressora 3D 0.4mm,5.61
330,Estaca para Microtubo 1/4 / Suporte Mangueira de Gotejamento,2.45
331,Relé Shield 5V 3A / Relay Shield 4 Canais V1.0,47.41
332,Caixa Patola PB-035 Case para Montagem 15 x 15 x 35 mm,3.67
333,Conversor Analógico Digital ADS1015 12 Bits 4 Canais ADC,72.96
334,Sensor De Vibração / Sensor de Batida (Choque Mecânico) para Arduino - 2578AY-RG,11.88
335,Teclado Matricial 3x4 12 Teclas Rígido,41.85
336,Controlador de Carga / Placa de Proteção de Carga BMS para Bateria 18650 2S 10A 8.4V,22.71
337,Caixa Patola PB-028 para Montagem 9 x 23 x 28 mm,4.28
338,"Conversor de Nível Lógico 3,3 / 5V Bidirecional com 8 Canais",24.61
339,Módulo Relé 3V 10A 1 Canal com Optoacoplador para ESP32,24.84
340,Plug T / Conector Macho + Fêmea de Alta Corrente para Projetos,9.88
341,Caixa Patola PB-025 para Montagem 26 x 15 x 42 mm,4.28
342,Válvula Solenoide para Gás e Ar 6V NA NF,39.70
343,Caixa Patola PB-049 para Montagem 14 x 45 x 45 mm,4.89
344,Caixa Patola PB-603 para Montagem 33 x 81 x 121 mm,19.86
345,Sensor de Corrente Não Invasivo 100A SCT013 - Saída 1V,75.91
346,Conector P2 / Plug P2 Mono,1.43
347,Radar Doppler HB100 / Sensor de Movimento por Microondas para Arduino,36.96
348,Motor DC 3V-6V DC130 18000RPM 50mA,9.48
349,CNC Shield V3 Impressora 3D Arduino para 4 Drivers A4988,40.80
350,Caixa Patola PB-605 para Montagem 40 x 81 x 121 mm,24.84
351,Sensor UV Guva-S12SD Ultravioleta para Arduino,44.56
352,Válvula Solenoide para Água 220V NF 180° ( 3/4 x 3/4),66.41
353,Display OLED 0.96 SPI 128x64 para Arduino,44.79
354,Módulo de Memória EEPROM AT24C256,13.21
355,Módulo Display 7 Segmentos Positivo Comum - P11,7.43
356,Válvula Solenoide para Água 12V NF 90° (3/4 x mang. 3/8),66.41
357,Carrinho Arduino Redondo Robô 2WD 200RPM MDF 3mm - Kit Chassi Usinainfo,91.25
358,Cabo para Motor de Passo da Impressora 3D Conector JST 4 / 6 Pinos com 4 Vias,10.93
359,Válvula Solenoide para Água 220V NF 180° (1/2 x 1/2),66.41
360,Caixa Patola PB-119/2 para Montagem 52 x 112 x 191 mm,39.81
361,Roda Boba Giratória Metálica Rolamentada para Carro Robô,12.26
362,Sensor de Linha Infravermelho BFD-1000 Com 5 Sondas + Detector de Distância e Impacto Mecânico,41.80
363,TFT LCD 2.4 Shield Arduino Touch Screen com Slot SD,104.64
364,Caixa Patola PB-065 para Montagem 28 x 44 x 65 mm,7.89
365,Shield Wifi Arduino ESP8266 ESP12e,66.41
366,Driver Motor Ponte H BTS7960B para Motor DC de Alta Corrente 43A,94.53
367,Módulo Microfone Eletreto Max9814 Amplificador com Controle Automático de Ganho,36.96
368,Controlador de Carga 18650 3S BMS / Placa de Proteção de Carga para Bateria 18650 3S 25A 12V,19.86
369,Conversor RS232 para Ethernet TCP/IP USR-TCP232-302,400.90
370,Rastreador Solar Arduino Solis Completo + Manual de Montagem,261.31
371,Carrinho Arduino Controlado por Smartphone - Montado e Pronto para Uso - PL200A V1,394.51
372,Sensor de Toque Capacitivo 4 Teclas - TTP224,10.36
373,Caixa Patola PB-150 para Montagem 100 x 150 x 214 mm,83.70
374,Caixa Patola PB-202 para Montagem 50 x 70 x 98 mm,20.85
375,Sensor de Nível de Líquidos Sem Contato - WS03,132.53
376,Laser Arduino Vermelho 12mm 5mW de Alta Potência,3.59
377,Sensor de Temperatura NTC 100K 3950 para Impressora 3D,11.31
378,Sensor de Contagem 5mm Chave Óptica para Encoder,36.81
379,Sensor de Umidade HR202L Higrômetro HR31,10.36
380,Módulo Sensor de Pressão Diferencial MPS20N0040D-D com Conversor Integrado,28.41
381,Conversor RS485 / RS232 / RS422 para Ethernet TCP/IP USR-TCP232-306 + Fonte de Alimentação,448.31
382,Módulo Relé 5V 10A 1 Canal HW-307,10.36
383,Caixa PatolaPB-029 para Montagem 11 x 20 x 32 mm,3.10
384,Módulo Sensor de Corrente AC / DC ACS758 50A Efeito Hall,55.96
385,Correia GT2 6mm para Impressora 3D e CNC 5 Metros,56.91
